scenario,threshold_percentile,simulation_objective,tps_proxy,simulated_outcome_utility,zip_fallback_rate,zip_continuity_rate,workload_gini,unassigned_rate,travel_proxy,scenario_best_objective,scenario_threshold_regret,selection_simulation_objective,selection_tps_proxy,selection_simulated_outcome_utility,selection_zip_fallback_rate,selection_zip_continuity_rate,selection_workload_gini,selection_unassigned_rate,selection_travel_proxy,selection_scenario_best_objective,selection_scenario_threshold_regret,held_out_simulation_objective,held_out_tps_proxy,held_out_simulated_outcome_utility,held_out_zip_fallback_rate,held_out_zip_continuity_rate,held_out_workload_gini,held_out_unassigned_rate,held_out_travel_proxy,held_out_scenario_best_objective,held_out_scenario_threshold_regret,threshold_evaluation_role
A,0.2,0.5712903805875496,60.55169946064632,0.6069534246883513,0.0,0.814828178694158,0.3141050973654067,0.015000000000000013,17.098840206185564,0.5763914786978552,0.00510109811030568,0.5841434075749636,61.245451299544364,0.6133406297971858,0.0,0.8633333333333333,0.3105555555555557,0.0,16.775,0.5873447570292677,0.003201349454304059,0.5584373536001354,59.85794762174827,0.6005662195795168,0.0,0.7663230240549829,0.3176546391752577,0.030000000000000027,17.422680412371133,0.5654382003664427,0.0070008467663073,candidate_threshold_optimization
A,0.21,0.5718786537834258,60.59794946064632,0.6074159246883514,0.0,0.8282646048109965,0.3141050973654067,0.015000000000000013,16.97306701030928,0.5763914786978552,0.004512824914429392,0.5850434075749636,61.315451299544364,0.6140406297971859,0.0,0.8833333333333333,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002301349454304047,0.558713899991888,59.88044762174828,0.6007912195795169,0.0,0.7731958762886598,0.3176546391752577,0.030000000000000027,17.371134020618555,0.5654382003664427,0.006724300374554626,candidate_threshold_optimization
A,0.22,0.5719882675351186,60.61048586445248,0.607541288726413,0.0,0.8334192439862542,0.3141766895761742,0.015000000000000013,16.98595360824742,0.5763914786978552,0.0044032111627366755,0.5850434075749636,61.315451299544364,0.6140406297971859,0.0,0.8833333333333333,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002301349454304047,0.5589331274952735,59.90552042936059,0.6010419476556401,0.0,0.7835051546391752,0.31779782359679265,0.030000000000000027,17.396907216494846,0.5654382003664427,0.006505072871169193,candidate_threshold_optimization
A,0.23,0.5719882675351186,60.61048586445248,0.607541288726413,0.0,0.8334192439862542,0.3141766895761742,0.015000000000000013,16.98595360824742,0.5763914786978552,0.0044032111627366755,0.5850434075749636,61.315451299544364,0.6140406297971859,0.0,0.8833333333333333,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002301349454304047,0.5589331274952735,59.90552042936059,0.6010419476556401,0.0,0.7835051546391752,0.31779782359679265,0.030000000000000027,17.396907216494846,0.5654382003664427,0.006505072871169193,candidate_threshold_optimization
A,0.24,0.5718234479474897,60.60173586445248,0.6074537887264131,0.0,0.831701030927835,0.3141766895761742,0.015000000000000013,17.063273195876288,0.5763914786978552,0.004568030750365493,0.5850434075749636,61.315451299544364,0.6140406297971859,0.0,0.8833333333333333,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002301349454304047,0.5586034883200158,59.8880204293606,0.6008669476556402,0.0,0.7800687285223368,0.31779782359679265,0.030000000000000027,17.551546391752577,0.5654382003664427,0.006834712046426827,candidate_threshold_optimization
A,0.25,0.5718234479474897,60.60173586445248,0.6074537887264131,0.0,0.831701030927835,0.3141766895761742,0.015000000000000013,17.063273195876288,0.5763914786978552,0.004568030750365493,0.5850434075749636,61.315451299544364,0.6140406297971859,0.0,0.8833333333333333,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002301349454304047,0.5586034883200158,59.8880204293606,0.6008669476556402,0.0,0.7800687285223368,0.31779782359679265,0.030000000000000027,17.551546391752577,0.5654382003664427,0.006834712046426827,candidate_threshold_optimization
A,0.26,0.5722751480229956,60.64332626146469,0.6078696926965351,0.0,0.8437285223367698,0.31424828178694164,0.015000000000000013,17.024613402061853,0.5763914786978552,0.004116330674859614,0.5850434075749636,61.315451299544364,0.6140406297971859,0.0,0.8833333333333333,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002301349454304047,0.5595068884710276,59.97120122338503,0.6016987555958844,0.0,0.8041237113402062,0.3179410080183276,0.030000000000000027,17.47422680412371,0.5654382003664427,0.00593131189541507,candidate_threshold_optimization
A,0.27,0.5723273992722351,60.64855138638865,0.6079219439457746,0.0,0.8470618556701031,0.31424828178694164,0.015000000000000013,17.024613402061853,0.5763914786978552,0.0040640794256201485,0.5851479100734426,61.325901549392256,0.6141451322956648,0.0,0.89,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002196846955825116,0.5595068884710276,59.97120122338503,0.6016987555958844,0.0,0.8041237113402062,0.3179410080183276,0.030000000000000027,17.47422680412371,0.5654382003664427,0.00593131189541507,candidate_threshold_optimization
A,0.28,0.5723273992722351,60.64855138638865,0.6079219439457746,0.0,0.8470618556701031,0.31424828178694164,0.015000000000000013,17.024613402061853,0.5763914786978552,0.0040640794256201485,0.5851479100734426,61.325901549392256,0.6141451322956648,0.0,0.89,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002196846955825116,0.5595068884710276,59.97120122338503,0.6016987555958844,0.0,0.8041237113402062,0.3179410080183276,0.030000000000000027,17.47422680412371,0.5654382003664427,0.00593131189541507,candidate_threshold_optimization
A,0.29,0.5724047105947867,60.65170061715469,0.6079534362534351,0.0,0.8487800687285223,0.3143914662084766,0.015000000000000013,16.97306701030928,0.5763914786978552,0.003986768103068528,0.5851479100734426,61.325901549392256,0.6141451322956648,0.0,0.89,0.3105555555555557,0.0,16.575,0.5873447570292677,0.002196846955825116,0.5596615111161309,59.97749968491711,0.6017617402112053,0.0,0.8075601374570447,0.31822737686139746,0.030000000000000027,17.371134020618555,0.5654382003664427,0.005776689250311717,candidate_threshold_optimization
A,0.3,0.5724100500669906,60.66279011993063,0.6080643312811944,0.004629629629629629,0.850446735395189,0.31578035509736546,0.015000000000000013,17.023067010309276,0.5763914786978552,0.003981428630864592,0.5851585890178503,61.34808055494414,0.6143669223511836,0.009259259259259259,0.8933333333333333,0.31333333333333346,0.0,16.675,0.5873447570292677,0.0021861680114173554,0.5596615111161309,59.97749968491711,0.6017617402112053,0.0,0.8075601374570447,0.31822737686139746,0.030000000000000027,17.371134020618555,0.5654382003664427,0.005776689250311717,candidate_threshold_optimization
A,0.31,0.5722835036752381,60.655290119930626,0.6079893312811945,0.004629629629629629,0.8487285223367698,0.31578035509736546,0.015000000000000013,17.074613402061857,0.5763914786978552,0.004107975022617172,0.5851585890178503,61.34808055494414,0.6143669223511836,0.009259259259259259,0.8933333333333333,0.31333333333333346,0.0,16.675,0.5873447570292677,0.0021861680114173554,0.5594084183326258,59.96249968491711,0.6016117402112053,0.0,0.8041237113402062,0.31822737686139746,0.030000000000000027,17.47422680412371,0.5654382003664427,0.006029782033816877,candidate_threshold_optimization
A,0.32,0.5724539753363219,60.66970555637121,0.6081334856456002,0.0045045045045045045,0.8556013745704467,0.3169974226804124,0.015000000000000013,16.999613402061854,0.5763914786978552,0.003937503361533312,0.5853835890178503,61.35558055494413,0.6144419223511836,0.009009009009009009,0.8933333333333333,0.31333333333333346,0.0,16.525,0.5873447570292677,0.0019611680114174357,0.5595243616547936,59.98383055779829,0.601825048940017,0.0,0.8178694158075601,0.3206615120274914,0.030000000000000027,17.47422680412371,0.5654382003664427,0.005913838711649078,candidate_threshold_optimization
A,0.33,0.5725328413157034,60.67220555637121,0.6081584856456004,0.0043859649122807015,0.8556529209621992,0.3169974226804124,0.015000000000000013,16.945747422680412,0.5763914786978552,0.003858637382151864,0.5850585890178502,61.33808055494413,0.6142669223511835,0.008771929824561403,0.89,0.31333333333333346,0.0,16.675,0.5873447570292677,0.0022861680114174554,0.5600070936135566,60.00633055779829,0.6020500489400171,0.0,0.8213058419243986,0.3206615120274914,0.030000000000000027,17.216494845360824,0.5654382003664427,0.00543110675288605,candidate_threshold_optimization
A,0.34,0.5724839153658778,60.68335820766585,0.6082700121585467,0.0,0.8606529209621994,0.31714275486827037,0.015000000000000013,17.100386597938147,0.5763914786978552,0.003907563331977393,0.5854932386468289,61.380989962286435,0.6146960164246067,0.0,0.9,0.31319444444444455,0.0,16.675,0.5873447570292677,0.0018515183824387993,0.5594745920849267,59.98572645304526,0.6018440078924868,0.0,0.8213058419243986,0.3210910652920962,0.030000000000000027,17.52577319587629,0.5654382003664427,0.005963608281515986,candidate_threshold_optimization
A,0.35,0.5724839153658778,60.68335820766585,0.6082700121585467,0.003968253968253968,0.8606529209621994,0.31714275486827037,0.015000000000000013,17.100386597938147,0.5763914786978552,0.003907563331977393,0.5854932386468289,61.380989962286435,0.6146960164246067,0.007936507936507936,0.9,0.31319444444444455,0.0,16.675,0.5873447570292677,0.0018515183824387993,0.5594745920849267,59.98572645304526,0.6018440078924868,0.0,0.8213058419243986,0.3210910652920962,0.030000000000000027,17.52577319587629,0.5654382003664427,0.005963608281515986,candidate_threshold_optimization
