profile_id,health_status,age_group,house_price_zip,area_type,housing_type,distance_to_clinic,driving_condition,need_mean_PPH,weighted_need_mean_PPH,need_mean_DTC,weighted_need_mean_DTC,need_mean_DFS,weighted_need_mean_DFS,need_mean_Oral_Meds,weighted_need_mean_Oral_Meds,need_mean_Dyspnea,weighted_need_mean_Dyspnea,need_mean_Recommend,weighted_need_mean_Recommend,need_mean_Agency_Rating,weighted_need_mean_Agency_Rating,need_mean_Care_Issues,weighted_need_mean_Care_Issues,need_mean_Communications,weighted_need_mean_Communications,need_mean_Care_of_Patients,weighted_need_mean_Care_of_Patients,rho_raw,risk_percentile_u,threshold_percentile,threshold_route
profile_1395,moderate,age_40_50,low,micropolitan,single_home,medium,good_summer,0.3320112132885985,0.08632291545503562,0.33886598885069175,0.030497938996562255,0.3224531361801682,0.06449062723603365,0.30906195048469,0.027815575543622097,0.3224207585863964,0.019345245515183785,0.342123440934172,0.02052740645605032,0.37202784582911913,0.022321670749747148,0.3280447309468662,0.01968268385681197,0.3197703837181291,0.019186223023087746,0.3135673613009562,0.01881404167805737,0.329004328510192,0.2371237123712371,0.75,lower_risk_zip_policy
profile_1396,moderate,age_40_50,low,micropolitan,single_home,medium,bad_winter,0.39316669628413276,0.10222334103387452,0.39898167015633557,0.0359083503140702,0.3889211065873638,0.07778422131747276,0.3447310580586594,0.031025795225279346,0.43379526017494147,0.026027715610496487,0.45800310778000924,0.027480186466800553,0.4161071819969925,0.024966430919819548,0.3712382294537675,0.02227429376722605,0.36420337827154436,0.02185220269629266,0.4425105904650995,0.026550635427905967,0.3960931727792381,0.3928892889288929,0.75,lower_risk_zip_policy
profile_1397,moderate,age_40_50,low,micropolitan,single_home,far,good_summer,0.3787272072435205,0.09846907388331533,0.38284859507320135,0.03445637355658812,0.3630724514290096,0.07261449028580193,0.33659599843652677,0.03029363985928741,0.44277333297565263,0.026566399978539157,0.46486480889029186,0.02789188853341751,0.47339310115376354,0.02840358606922581,0.35305149324033586,0.02118308959442015,0.34692388038966165,0.0208154328233797,0.4081257293546636,0.024487543761279817,0.385181518345255,0.3657865786578658,0.75,lower_risk_zip_policy
profile_1398,moderate,age_40_50,low,micropolitan,single_home,far,bad_winter,0.4398826902390544,0.11436949946215415,0.4429642763788451,0.03986678487409606,0.4295404218362053,0.08590808436724107,0.37226510601049617,0.033503859540944654,0.5541478345641999,0.033248870073851994,0.5807444757361258,0.03484466854416755,0.5174724373216337,0.031048346239298023,0.39624499174723715,0.02377469950483423,0.39135687494307336,0.023481412496584402,0.5370689585188069,0.03222413751112841,0.4522703626143006,0.5266184849363212,0.75,lower_risk_zip_policy
profile_1399,moderate,age_40_50,low,micropolitan,apartment,near,good_summer,0.3489988474540247,0.09073970033804643,0.36811043780174324,0.03312993940215689,0.3510712901054877,0.07021425802109754,0.3469619929333755,0.031226579364003793,0.23566012301461173,0.014139607380876704,0.2728672803176683,0.0163720368190601,0.3073953706443687,0.018443722238662124,0.3399781989219472,0.02039869193531683,0.36786122943001187,0.02207167376580071,0.24906546074509178,0.014943927644705507,0.33168013690972664,0.24467446744674468,0.75,lower_risk_zip_policy
profile_1400,moderate,age_40_50,low,micropolitan,apartment,near,bad_winter,0.41015433044955885,0.1066401259168853,0.42822611910738706,0.038540350719664836,0.4175392605126851,0.08350785210253703,0.3826311005073449,0.03443679904566104,0.347034624603159,0.020822077476189537,0.3887469471635023,0.023324816829810135,0.3514747068122421,0.021088482408734524,0.3831716974288485,0.02299030184573091,0.4122942239834236,0.024737653439005414,0.3780086899092386,0.022680521394554315,0.398768981178773,0.39873987398739874,0.75,lower_risk_zip_policy
profile_1401,moderate,age_40_50,low,micropolitan,apartment,medium,good_summer,0.3957148414089467,0.10288585876632614,0.4120930440242511,0.0370883739621826,0.3916906053543309,0.07833812107086618,0.3744960408852122,0.0337046436796691,0.35601269740387015,0.021360761844232207,0.3956086482737881,0.023736518896427285,0.4087606259690131,0.024525637558140783,0.36498496121541685,0.02189909767292501,0.39501472610154087,0.02370088356609245,0.3436238287987992,0.020617429727927954,0.38785732674478973,0.37413741374137416,0.75,lower_risk_zip_policy
profile_1402,moderate,age_40_50,low,micropolitan,apartment,medium,bad_winter,0.4568703244044806,0.11878628434516496,0.47220872532989494,0.042498785279690546,0.4581585757615266,0.09163171515230532,0.4101651484591816,0.03691486336132634,0.46738719899241526,0.028043231939544916,0.511488315119622,0.03068929890717732,0.4528399621368833,0.027170397728213,0.4081784597223181,0.024490707583339086,0.43944772065495613,0.026366863239297367,0.4725670579629425,0.02835402347777655,0.45494617101383544,0.532053205320532,0.75,lower_risk_zip_policy
profile_1403,moderate,age_40_50,low,micropolitan,apartment,far,good_summer,0.44243083536386835,0.11503201719460578,0.4560756502467607,0.04104680852220846,0.4323099206031724,0.0864619841206345,0.40203008883704894,0.0361827079953344,0.47636527179312643,0.028581916307587586,0.5183500162299046,0.031101000973794275,0.5101258812936543,0.030607552877619258,0.3899917235088865,0.02339950341053319,0.4221682227730698,0.02533009336638419,0.4381821968525031,0.026290931811150185,0.4440345165798518,0.5075636750746366,0.75,lower_risk_zip_policy
profile_1404,moderate,age_40_50,low,micropolitan,apartment,far,bad_winter,0.5035863183594024,0.13093244277344462,0.5161913315524046,0.046457219839716415,0.4987778910103698,0.09975557820207397,0.43769919641101834,0.03939292767699165,0.5877397733816737,0.03526438640290042,0.6342296830757419,0.03805378098454451,0.5542052174615277,0.03325231304769166,0.43318522201578774,0.025991113320947265,0.46660121732648513,0.027996073039589106,0.5671254260166464,0.034027525560998785,0.5111233608488984,0.649817876560789,0.75,lower_risk_zip_policy
profile_1405,moderate,age_40_50,low,metropolitan,single_home,near,good_summer,0.31434345984765105,0.08172929956038928,0.3268707326081897,0.029418365934737074,0.31278027970025535,0.06255605594005108,0.29606881151074604,0.026646193035967145,0.2091598157252716,0.012549588943516295,0.23364479493528473,0.014018687696117083,0.28922231099621304,0.01735333865977278,0.3227394247966248,0.019364365487797488,0.31268204501550845,0.018760922700930507,0.2270240512466764,0.013621443074800585,0.2960182610340793,0.17251725172517252,0.75,lower_risk_zip_policy
